date,Anderson County,Andrews County,Angelina County,Aransas County,Archer County,Armstrong County,Atascosa County,Austin County,Bailey County,Bandera County,Bastrop County,Baylor County,Bee County,Bell County,Bexar County,Blanco County,Borden County,Bosque County,Bowie County,Brazoria County,Brazos County,Brewster County,Briscoe County,Brooks County,Brown County,Burleson County,Burnet County,Caldwell County,Calhoun County,Callahan County,Cameron County,Camp County,Carson County,Cass County,Castro County,Chambers County,Cherokee County,Childress County,Clay County,Cochran County,Coke County,Coleman County,Collin County,Collingsworth County,Colorado County,Comal County,Comanche County,Concho County,Cooke County,Coryell County,Cottle County,Crane County,Crockett County,Crosby County,Culberson County,Dallam County,Dallas County,Dawson County,Deaf Smith County,Delta County,Denton County,DeWitt County,Dickens County,Dimmit County,Donley County,Duval County,Eastland County,Ector County,Edwards County,Ellis County,El Paso County,Erath County,Falls County,Fannin County,Fayette County,Fisher County,Floyd County,Foard County,Fort Bend County,Franklin County,Freestone County,Frio County,Gaines County,Galveston County,Garza County,Gillespie County,Glasscock County,Goliad County,Gonzales County,Gray County,Grayson County,Gregg County,Grimes County,Guadalupe County,Hale County,Hall County,Hamilton County,Hansford County,Hardeman County,Hardin County,Harris County,Harrison County,Hartley County,Haskell County,Hays County,Hemphill County,Henderson County,Hidalgo County,Hill County,Hockley County,Hood County,Hopkins County,Houston County,Howard County,Hudspeth County,Hunt County,Hutchinson County,Irion County,Jack County,Jackson County,Jasper County,Jeff Davis County,Jefferson County,Jim Hogg County,Jim Wells County,Johnson County,Jones County,Karnes County,Kaufman County,Kendall County,Kenedy County,Kent County,Kerr County,Kimble County,King County,Kinney County,Kleberg County,Knox County,Lamar County,Lamb County,Lampasas County,La Salle County,Lavaca County,Lee County,Leon County,Liberty County,Limestone County,Lipscomb County,Live Oak County,Llano County,Loving County,Lubbock County,Lynn County,McCulloch County,McLennan County,McMullen County,Madison County,Marion County,Martin County,Mason County,Matagorda County,Maverick County,Medina County,Menard County,Midland County,Milam County,Mills County,Mitchell County,Montague County,Montgomery County,Moore County,Morris County,Motley County,Nacogdoches County,Navarro County,Newton County,Nolan County,Nueces County,Ochiltree County,Oldham County,Orange County,Palo Pinto County,Panola County,Parker County,Parmer County,Pecos County,Polk County,Potter County,Presidio County,Rains County,Randall County,Reagan County,Real County,Red River County,Reeves County,Refugio County,Roberts County,Robertson County,Rockwall County,Runnels County,Rusk County,Sabine County,San Augustine County,San Jacinto County,San Patricio County,San Saba County,Schleicher County,Scurry County,Shackelford County,Shelby County,Sherman County,Smith County,Somervell County,Starr County,Stephens County,Sterling County,Stonewall County,Sutton County,Swisher County,Tarrant County,Taylor County,Terrell County,Terry County,Throckmorton County,Titus County,Tom Green County,Travis County,Trinity County,Tyler County,Upshur County,Upton County,Uvalde County,Val Verde County,Van Zandt County,Victoria County,Walker County,Waller County,Ward County,Washington County,Webb County,Wharton County,Wheeler County,Wichita County,Wilbarger County,Willacy County,Williamson County,Wilson County,Winkler County,Wise County,Wood County,Yoakum County,Young County,Zapata County,Zavala County
2017-08-17,12.0,19.0,12.0,20.0,22.0,15.0,14.0,14.0,12.0,13.0,11.1,15.0,18.1,20.0,17.1,11.1,24.1,22.9,17.1,12.0,12.0,20.0,8.9,18.1,12.0,14.0,11.1,14.0,20.0,20.0,20.0,17.1,15.0,17.1,13.0,12.0,11.1,8.0,22.0,12.0,24.1,12.0,22.0,8.0,13.0,18.1,18.1,24.1,18.1,,8.0,19.0,15.0,12.0,13.0,29.9,18.1,19.0,13.0,24.1,12.0,14.0,12.0,17.1,8.0,15.9,18.1,19.0,22.0,15.0,8.0,22.9,14.0,14.0,13.0,24.1,8.9,15.0,11.1,17.1,18.1,17.1,19.0,18.1,12.0,13.0,19.0,14.0,18.1,6.0,19.0,14.0,12.0,18.1,8.9,8.0,,6.0,15.0,11.1,8.9,14.0,29.9,20.0,14.0,9.9,12.0,19.0,15.9,12.0,22.9,24.1,12.0,19.0,13.0,14.0,6.0,24.1,9.9,15.9,8.9,20.0,11.1,15.9,19.0,19.0,20.0,14.0,20.0,13.0,18.1,24.1,13.0,15.0,8.0,22.0,20.0,15.0,18.1,8.9,13.0,17.1,14.0,11.1,12.0,12.0,18.1,9.9,19.0,13.0,17.1,12.0,12.0,12.0,22.9,17.1,12.0,14.0,19.0,13.0,12.0,15.0,15.9,15.0,19.0,14.0,18.1,24.1,13.0,11.1,29.9,17.1,8.0,8.0,13.0,8.9,24.1,18.1,6.0,13.0,11.1,20.0,11.1,20.0,13.0,14.0,12.0,15.0,20.0,15.0,15.0,15.0,15.0,18.1,17.1,20.0,6.0,12.0,18.1,20.0,11.1,8.9,8.0,11.1,19.0,13.0,24.1,24.1,20.0,8.0,29.9,31.1,22.9,19.0,19.0,24.1,24.1,15.0,8.9,18.1,20.0,15.0,12.0,19.0,17.1,24.1,9.9,12.0,8.9,14.0,19.0,15.0,14.0,15.0,14.0,12.0,9.9,17.1,14.0,19.0,12.0,9.9,22.0,15.0,20.0,14.0,14.0,17.1,13.0,15.0,12.0,19.0,15.9,15.0
2017-08-18,12.0,25.1,12.0,15.9,15.9,17.1,12.0,9.9,15.9,9.9,9.9,13.0,18.1,15.0,13.0,8.0,15.0,22.0,9.9,11.1,13.0,15.0,15.9,13.0,11.1,9.9,8.0,13.0,15.9,15.9,17.1,9.9,17.1,9.9,20.0,8.9,9.9,13.0,15.9,15.9,15.9,11.1,8.0,13.0,11.1,12.0,11.1,15.9,9.9,,13.0,25.1,18.1,15.9,24.1,14.0,12.0,25.1,20.0,9.9,12.0,14.0,15.9,19.0,13.0,15.9,11.1,25.1,13.0,11.1,14.0,12.0,11.1,11.1,11.1,15.0,15.9,13.0,7.0,9.9,14.0,19.0,25.1,12.0,15.9,12.0,25.1,14.0,12.0,20.0,15.0,8.0,8.9,12.0,15.9,13.0,,20.0,13.0,11.1,8.9,8.0,14.0,15.0,13.0,26.0,6.0,19.0,18.1,15.9,12.0,9.9,12.0,25.1,24.1,11.1,20.0,15.9,7.0,12.0,8.0,15.0,11.1,15.9,19.0,15.0,15.0,12.0,12.0,9.9,13.0,15.0,9.9,17.1,13.0,13.0,15.9,13.0,13.0,15.9,14.0,19.0,14.0,9.9,12.0,12.0,14.0,26.0,19.0,13.0,22.0,15.9,15.9,11.1,22.0,19.0,8.9,8.0,25.1,13.0,9.9,14.0,13.0,17.1,25.1,11.1,11.1,15.0,12.0,8.9,14.0,9.9,13.0,9.9,11.1,8.0,15.0,18.1,20.0,20.0,8.9,8.9,8.0,8.9,20.0,15.0,12.0,17.1,15.0,9.9,17.1,18.1,14.0,13.0,22.0,15.9,20.0,13.0,8.9,15.0,8.0,8.0,9.9,8.9,19.0,13.0,15.9,15.0,15.9,9.9,14.0,9.9,12.0,19.0,8.9,15.9,15.0,18.1,15.9,12.0,15.0,18.1,15.9,8.9,9.9,15.9,7.0,12.0,8.0,8.0,25.1,14.0,12.0,9.9,14.0,8.9,8.0,22.0,9.9,20.0,9.9,26.0,15.9,13.0,20.0,15.0,12.0,22.0,12.0,9.9,15.9,8.9,14.0,14.0
2017-08-19,8.9,15.0,11.1,15.0,21.0,14.0,11.1,9.9,13.0,11.1,8.9,20.0,17.1,13.0,13.0,8.9,15.0,9.9,8.0,9.9,8.0,13.0,9.9,7.0,11.1,9.9,8.9,15.0,15.0,19.0,15.9,8.0,14.0,8.0,12.0,7.0,9.9,8.9,21.0,13.0,18.1,11.1,8.9,8.9,8.0,15.9,11.1,18.1,8.9,,8.9,15.0,12.0,13.0,20.0,13.0,8.9,15.0,12.0,9.9,8.9,14.0,13.0,18.1,8.9,19.0,11.1,15.0,13.0,8.0,15.9,8.9,9.9,8.0,8.0,15.0,9.9,20.0,17.1,8.0,11.1,18.1,15.0,11.1,13.0,9.9,15.0,14.0,15.9,9.9,8.9,8.0,7.0,15.9,9.9,8.9,,9.9,20.0,8.0,6.0,8.0,13.0,21.0,15.0,13.0,6.0,19.0,8.9,13.0,8.9,9.9,8.9,15.0,20.0,8.0,9.9,18.1,7.0,12.0,7.0,13.0,8.0,19.0,15.9,8.9,21.0,11.1,8.0,11.1,7.0,15.0,11.1,11.1,8.9,13.0,15.9,20.0,9.9,9.9,8.0,18.1,14.0,8.9,8.9,9.9,11.1,13.0,15.9,8.0,13.0,13.0,13.0,11.1,9.9,18.1,7.0,8.0,15.0,8.0,9.9,13.0,12.0,11.1,15.0,9.9,11.1,15.0,11.1,8.9,13.0,8.0,8.9,8.9,13.0,7.0,15.0,17.1,9.9,12.0,6.0,13.0,7.0,13.0,12.0,13.0,11.1,14.0,13.0,8.0,14.0,12.0,13.0,9.9,13.0,15.0,9.9,8.0,11.1,21.0,7.0,7.0,8.9,8.9,15.9,8.0,18.1,15.0,19.0,8.9,13.0,11.1,8.9,19.0,15.9,18.1,15.0,12.0,9.9,8.0,21.0,12.0,13.0,15.9,8.0,18.1,6.0,11.1,7.0,8.0,15.0,13.0,14.0,8.0,14.0,7.0,8.0,13.0,9.9,21.0,9.9,13.0,21.0,20.0,17.1,12.0,11.1,13.0,11.1,8.0,13.0,15.9,19.0,13.0
2017-08-20,8.0,15.0,19.0,13.0,15.0,17.1,9.9,9.9,21.0,12.0,7.0,14.0,15.0,11.1,13.0,8.9,15.0,12.0,11.1,8.9,8.9,17.1,15.9,13.0,13.0,9.9,8.9,11.1,13.0,15.0,14.0,11.1,17.1,11.1,15.0,8.0,7.0,22.0,15.0,21.0,12.0,13.0,9.9,22.0,8.0,11.1,13.0,12.0,11.1,,22.0,15.0,15.0,21.0,15.9,20.0,15.9,15.0,15.0,8.9,11.1,14.0,21.0,15.0,22.0,17.1,13.0,15.0,13.0,8.0,15.9,9.9,11.1,8.0,8.0,15.0,15.9,14.0,15.0,11.1,11.1,15.0,15.0,9.9,21.0,9.9,15.0,14.0,11.1,15.0,11.1,8.0,6.0,11.1,15.9,22.0,,15.0,14.0,26.0,8.9,8.0,20.0,15.9,11.1,19.0,8.0,19.0,12.0,21.0,9.9,8.9,8.0,15.0,15.9,8.0,15.0,12.0,8.9,13.0,8.9,17.1,26.0,17.1,15.9,12.0,15.9,9.9,9.9,12.0,13.0,15.0,12.0,13.0,22.0,13.0,15.0,14.0,8.0,15.9,12.0,15.0,14.0,7.0,8.0,12.0,11.1,19.0,15.9,11.1,32.1,21.0,21.0,13.0,12.0,15.0,6.0,8.0,15.0,11.1,12.0,13.0,15.9,13.0,15.0,11.1,13.0,15.0,9.9,8.9,20.0,11.1,22.0,11.1,8.0,8.9,15.0,15.0,15.0,15.0,9.9,14.0,9.9,14.0,15.0,15.9,19.0,17.1,17.1,7.0,17.1,15.0,13.0,8.0,32.1,13.0,15.0,8.9,13.0,15.9,9.9,8.9,11.1,8.9,15.0,11.1,12.0,15.0,15.0,11.1,20.0,8.0,9.9,19.0,11.1,12.0,15.0,15.0,15.9,13.0,15.9,15.0,21.0,11.1,11.1,12.0,7.0,19.0,8.9,8.0,15.0,13.0,14.0,7.0,14.0,6.0,8.9,32.1,9.9,21.0,12.0,19.0,15.0,14.0,18.1,9.9,9.9,32.1,9.9,7.0,21.0,11.1,15.0,13.0
2017-08-21,9.9,15.0,9.9,12.0,13.0,20.0,9.9,11.1,35.9,13.0,8.9,14.0,17.1,12.0,17.1,8.0,15.9,13.0,7.0,12.0,8.0,18.1,20.0,13.0,11.1,11.1,8.0,15.0,12.0,14.0,14.0,7.0,20.0,7.0,24.1,11.1,8.9,13.0,13.0,35.9,13.0,11.1,11.1,13.0,12.0,15.9,11.1,13.0,9.9,,13.0,15.0,14.0,35.9,18.1,19.0,15.0,15.0,24.1,9.9,12.0,14.0,35.9,20.0,13.0,15.9,11.1,15.0,17.1,9.9,12.0,11.1,8.9,8.9,12.0,15.9,20.0,14.0,11.1,7.0,13.0,20.0,15.0,12.0,35.9,12.0,15.0,14.0,15.9,15.9,13.0,6.0,7.0,15.9,20.0,13.0,,15.9,14.0,11.1,8.0,6.0,19.0,13.0,15.0,15.9,8.0,18.1,12.0,35.9,11.1,9.9,9.9,15.0,18.1,8.9,15.9,13.0,8.9,13.0,5.1,18.1,11.1,15.9,15.0,13.0,13.0,9.9,9.9,13.0,13.0,15.9,13.0,14.0,13.0,17.1,15.0,14.0,11.1,20.0,9.9,20.0,14.0,8.9,9.9,13.0,13.0,15.9,15.0,8.0,8.0,35.9,35.9,11.1,13.0,20.0,7.0,6.0,15.0,8.0,12.0,13.0,15.0,14.0,15.0,8.9,11.1,15.9,9.9,19.0,19.0,7.0,13.0,9.9,12.0,5.1,15.9,17.1,15.9,24.1,9.9,13.0,8.0,13.0,24.1,15.0,9.9,20.0,18.1,7.0,20.0,14.0,13.0,11.1,8.0,12.0,15.9,8.0,15.9,13.0,8.0,5.1,9.9,19.0,14.0,8.0,13.0,15.9,14.0,9.9,19.0,12.0,11.1,18.1,8.9,13.0,15.9,14.0,20.0,9.9,13.0,14.0,35.9,8.9,7.0,13.0,8.0,9.9,5.1,6.0,15.0,13.0,14.0,7.0,14.0,7.0,9.9,8.0,11.1,20.0,12.0,15.9,13.0,14.0,15.9,11.1,9.9,8.0,9.9,7.0,35.9,8.9,17.1,13.0
2017-08-22,8.0,12.0,5.1,13.0,12.0,18.1,11.1,8.9,31.1,12.0,8.9,17.1,15.0,12.0,15.0,8.9,13.0,13.0,7.0,8.9,7.0,12.0,19.0,11.1,9.9,8.9,8.9,15.0,13.0,13.0,15.0,7.0,18.1,7.0,13.0,11.1,7.0,24.1,12.0,31.1,13.0,9.9,8.9,24.1,11.1,13.0,11.1,13.0,8.9,,24.1,12.0,12.0,31.1,18.1,18.1,15.0,12.0,13.0,8.9,9.9,13.0,31.1,18.1,24.1,15.9,11.1,12.0,12.0,8.0,13.0,8.9,8.0,8.0,11.1,13.0,19.0,17.1,13.0,7.0,12.0,18.1,12.0,11.1,31.1,8.9,12.0,13.0,13.0,13.0,12.0,6.0,7.0,13.0,19.0,24.1,,13.0,17.1,13.0,7.0,6.0,18.1,13.0,15.0,13.0,6.0,15.9,12.0,31.1,8.9,8.9,8.0,12.0,18.1,8.0,13.0,13.0,8.9,15.0,13.0,12.0,13.0,15.9,15.9,9.9,13.0,11.1,7.0,12.0,11.1,13.0,12.0,9.9,24.1,12.0,17.1,17.1,8.9,19.0,9.9,18.1,13.0,8.9,8.0,13.0,12.0,13.0,15.9,7.0,12.0,31.1,31.1,9.9,13.0,18.1,7.0,6.0,12.0,7.0,11.1,11.1,11.1,9.9,12.0,8.0,11.1,13.0,11.1,7.0,18.1,7.0,24.1,6.0,8.9,13.0,13.0,15.0,13.0,13.0,11.1,8.9,6.0,8.9,13.0,15.0,5.1,18.1,12.0,7.0,18.1,12.0,11.1,8.9,12.0,13.0,13.0,7.0,12.0,13.0,6.0,13.0,6.0,7.0,14.0,7.0,13.0,13.0,13.0,6.0,18.1,7.0,8.9,15.9,8.0,13.0,13.0,12.0,19.0,12.0,13.0,12.0,31.1,8.0,7.0,13.0,9.9,5.1,13.0,6.0,12.0,11.1,11.1,7.0,13.0,7.0,8.9,12.0,8.9,19.0,11.1,13.0,12.0,17.1,15.0,11.1,11.1,12.0,11.1,7.0,31.1,8.0,15.9,11.1
